movieId,image,title,genres
1,1.jpg,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,2.jpg,Jumanji (1995),Adventure|Children|Fantasy
3,3.jpg,Grumpier Old Men (1995),Comedy|Romance
4,4.jpg,Waiting to Exhale (1995),Comedy|Drama|Romance
5,5.jpg,Father of the Bride Part II (1995),Comedy
6,6.jpg,Heat (1995),Action|Crime|Thriller
7,7.jpg,Sabrina (1995),Comedy|Romance
8,8.jpg,Tom and Huck (1995),Adventure|Children
9,9.jpg,Sudden Death (1995),Action
10,10.jpg,GoldenEye (1995),Action|Adventure|Thriller
11,11.jpg,"American President, The (1995)",Comedy|Drama|Romance
12,12.jpg,Dracula: Dead and Loving It (1995),Comedy|Horror
13,13.jpg,Balto (1995),Adventure|Animation|Children
14,14.jpg,Nixon (1995),Drama
15,15.jpg,Cutthroat Island (1995),Action|Adventure|Romance
16,16.jpg,Casino (1995),Crime|Drama
17,17.jpg,Sense and Sensibility (1995),Drama|Romance
18,18.jpg,Four Rooms (1995),Comedy
19,19.jpg,Ace Ventura: When Nature Calls (1995),Comedy
20,20.jpg,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,21.jpg,Get Shorty (1995),Comedy|Crime|Thriller
22,22.jpg,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,23.jpg,Assassins (1995),Action|Crime|Thriller
24,24.jpg,Powder (1995),Drama|Sci-Fi
25,25.jpg,Leaving Las Vegas (1995),Drama|Romance
26,26.jpg,Othello (1995),Drama
27,27.jpg,Now and Then (1995),Children|Drama
28,28.jpg,Persuasion (1995),Drama|Romance
29,29.jpg,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,30.jpg,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,31.jpg,Dangerous Minds (1995),Drama
32,32.jpg,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,34.jpg,Babe (1995),Children|Drama
36,36.jpg,Dead Man Walking (1995),Crime|Drama
38,38.jpg,It Takes Two (1995),Children|Comedy
39,39.jpg,Clueless (1995),Comedy|Romance
40,40.jpg,"Cry, the Beloved Country (1995)",Drama
41,41.jpg,Richard III (1995),Drama|War
42,42.jpg,Dead Presidents (1995),Action|Crime|Drama
43,43.jpg,Restoration (1995),Drama
44,44.jpg,Mortal Kombat (1995),Action|Adventure|Fantasy
45,45.jpg,To Die For (1995),Comedy|Drama|Thriller
46,46.jpg,How to Make an American Quilt (1995),Drama|Romance
47,47.jpg,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,48.jpg,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
